Romania,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1
Russia,,X,X,2,Fair,Tier 3 Auto-Downgrade,Member,Member,Member,,Member,Member,,,,,Member,6,,,Member,,,,1
Rwanda,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2
Saint Kitts and Nevis,2,,X,1,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Saint Lucia,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Saint Vincent and the Grenadines,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2
Samoa,,,X,1,Fair,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
San Marino,,X,X,2,Excellent,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,,,,,0
Sao Tome and Principe,,,X,1,Poor,,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2
Saudi Arabia,,,X,1,Good,,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Senegal,3,X,X,2,Poor,,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Seychelles,,,X,1,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2
Sierra Leone,1,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2
Singapore,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2
Slovakia,,,X,1,Good,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,,8,,,Member,,,,1
Slovenia,,,X,1,Good,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1
Solomon Islands,,,X,1,,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1
Somalia,,X,X,2,Unsuitable,Special Case,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,,,,,1
