Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Canada,,X,X,2,Excellent,Tier 2,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9,,Member,Member,,,,2,,,,,,,,4062,4344,4935,5237,5475,6887,5454,6037,6037,5527,5800,5909,5079,4832,6477,6537,6805,5.3,0,4.6,1
Central African Republic,,,,0,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Suspended,,4.5,Member,,Member,,,,2,,,,,,,,210,210,232,344,468,434,150,166,234,239,258,240,272,275,248,272,233,128.60001,4,367,0
Chad,,X,X,2,Unsuitable,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,499,716,591,596,620,628,603,703,779,730,920,609,781,582,609,624,731,149.8,4,151,0
Chile,,,X,1,Good,Tier 2,Member,Member,Member,Member,Member,,Member,,,,Member,7,,,Member,,,,1,,,,,,,,55696,55464,55311,66451,64395,46144,39491,39973,39973,44948,49526,57011,48152,51371,70479,70281,80424,9.1,0,16,1
China,2,,X,1,Poor,Tier 3 Auto-Downgrade,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1,,,,,,,,250503,255114,252673,315536,345748,288100,216949,262963,325955,382085,443802,503433,524949,706818,945040,1283250,1467558,14,0,73,1
Colombia,,X,X,2,Poor,Tier 1,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1,1,1,1,1,1,,,176438,236891,280238,195058,197407,182721,200359,194720,194720,186738,196100,204256,208920,163777,234700,337336,465249,17.6,4,33,1
Comoros,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2,,,,,,,,51,47,43,71,112,67,63,79,103,111,96,137,97,85,130,131,147,77.6,4,34,0
Costa Rica,2,X,X,2,Excellent,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,Member,2,,,,,,,,50732,56032,54387,57594,47076,38530,30845,31744,31744,39268,39057,42882,36774,44075,41432,42972,41692,9.9,3,11,0
Côte d'Ivoire,1,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,4756,4627,4393,3991,4702,3661,2495,2803,2349,2678,2825,3415,3415,2944,2689,4622,4614,107.6,4,172,0
Croatia,,,X,1,Good,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1,,,,,,,,17303,18662,20165,21197,20340,15359,15092,15657,16496,15747,17740,18730,16104,15042,16166,16524,15612,4.7,0,14,0
Cuba,,,X,1,Good,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,7215,10473,9197,44283,27800,21822,10122,11843,11843,9046,12723,13108,19624,23114,18892,20200,36787,5.5,0,9.3,1
Cyprus,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,Member,,,Member,,Member,7,,,Member,,,,1,,,,,,,,6872,6920,7180,7307,6383,4557,4572,4727,4843,4531,4761,5862,5009,5276,5305,4921,4039,3.2,0,5.4,0
Czech Republic,,,X,1,Good,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,,8,,,Member,,,,1,,,,,,,,46676,49031,44457,42932,40541,30252,28858,30632,34024,32118,31315,33483,10024,6974,7001,6929,7001,3.8,0,5.3,1
Democratic Republic of the Congo,1,X,X,2,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,1,1,1,1,1,,611,652,791,3229,4312,2783,2151,2412,2714,2513,2731,3512,3253,3314,3825,5320,5174,145.7,4,327,1
Denmark,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,10830,10316,10111,9569,8667,7468,6947,8352,8334,8016,8415,7903,7687,7637,8295,8554,8787,3.7,0,7.4,0
Djibouti,3,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,398,908,569,715,510,184,412,294,279,231,289,385,608,516,576,538,374,80.9,4,620,0
Dominica,2,,X,1,Good,,,Member,Member,Member,Member,,,,,,,4,,,Member,,Member,,2,,,,,,,,2472,3062,4226,2817,2002,1419,2047,2336,2336,2090,1788,1977,2269,1993,1465,1324,1284,12.6,0,13,0
Dominican Republic,1,X,X,2,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,Member,2,1,1,,,,,,58919,61940,69371,50171,52738,49038,44152,35780,35780,77465,70035,69050,70780,68102,65261,73006,58851,27.1,4,62,1
Ecuador,,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1,,1,,,1,,,62287,66942,45104,38763,69906,76826,60088,49504,49504,54738,67215,63612,50285,59465,78950,95063,112211,23.3,3,59,1
Egypt,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,Suspended,Member,5.5,,,Member,,,,1,1,1,1,,,,1,40696,41717,43486,48883,50138,20397,15831,18562,23911,30989,31750,31197,33881,34890,45449,65831,49489,21,1,17,1
El Salvador,2,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,Member,2,1,,,1,1,,,39112,56644,67590,73054,96748,58012,36636,25146,25146,20493,26966,27352,20637,26642,28357,31110,27318,15.9,3,25,0
